g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 6.971975823888421e-7 62 4 1 0.0 1 0.0 7.2138638
true 2.341843008957234e-7 150 4 1 0.0 2 0.0 0.7419829
true 1.2302978968925515e-7 241 4 1 0.0 3 0.0 2.2547389
true 5.550627446559986e-8 389 4 1 0.0 4 0.0 3.8859155
true 4.992022508698568e-7 64 4 2 0.0 1 0.0 0.1542013
true 2.94344139367686e-7 169 4 2 0.0 2 0.0 0.8524792
true 1.8564250568453566e-6 361 4 2 0.0 3 0.0 2.8522064
true 2.686694133557932e-7 391 4 2 0.0 4 0.0 4.5718189
true 8.881223262369176e-8 73 4 3 0.0 1 0.0 0.227045
true 7.240721837849703e-7 278 4 3 0.0 2 0.0 1.4604073
true 8.391682119561021e-8 294 4 3 0.0 3 0.0 2.6266193
true 2.10184673499203e-6 756 4 3 0.0 4 0.0 7.1380864
true 9.362488745390252e-8 76 4 4 0.0 1 0.0 0.2653782
true 9.289137450907425e-8 257 4 4 0.0 2 0.0 1.3134939
true 2.6636552898917643e-6 445 4 4 0.0 3 0.0 3.3406984
true 7.448722413511133e-6 926 4 4 0.0 4 0.0 9.2207803
true 2.391638095344817e-7 67 4 1 0.01 1 2.049427791020832e-6 0.2523424
true 3.266111237021363e-8 147 4 1 0.01 2 2.049427791020832e-6 0.9375765
true 1.849089191763298e-7 246 4 1 0.01 3 2.049427791020832e-6 2.2223236
true 1.4071705678464497e-7 394 4 1 0.01 4 2.049427791020832e-6 4.8205906
true 6.648293796041038e-7 71 4 2 0.01 1 2.049427791020832e-6 0.2462794
true 7.527220782788113e-8 157 4 2 0.01 2 2.049427791020832e-6 1.005091
true 1.69161833241116e-6 286 4 2 0.01 3 2.049427791020832e-6 2.699557
true 4.0276665938171474e-5 849 4 2 0.01 4 2.049427791020832e-6 8.8985551
true 1.1351489272633704e-7 66 4 3 0.01 1 2.049427791020832e-6 0.2678884
true 2.9303136254525225e-7 179 4 3 0.01 2 2.049427791020832e-6 1.1565891
true 0.00010814242122281215 294 4 3 0.01 3 2.049427791020832e-6 2.6802805
true 1.6731807744863048e-7 582 4 3 0.01 4 2.049427791020832e-6 6.3114199
true 4.7034268890744357e-7 67 4 4 0.01 1 2.049427791020832e-6 0.2604509
true 5.512515535849305e-7 341 4 4 0.01 2 2.049427791020832e-6 2.1485865
true 7.017740026038499e-7 328 4 4 0.01 3 2.049427791020832e-6 3.0692146
true 1.1063283482659614e-6 1279 4 4 0.01 4 2.049427791020832e-6 13.164196
true 1.6856377615948048e-7 57 4 1 0.02 1 1.5519341457791147e-8 0.1866398
true 4.1753118240617226e-8 150 4 1 0.02 2 1.5519341457791147e-8 0.9633011
true 1.3149115551946977e-7 223 4 1 0.02 3 1.5519341457791147e-8 2.2945983
true 8.733649992098691e-8 396 4 1 0.02 4 1.5519341457791147e-8 4.5439913
true 2.902160337325821e-7 83 4 2 0.02 1 1.5519341457791147e-8 0.2350928
true 2.075394830991506e-8 161 4 2 0.02 2 1.5519341457791147e-8 0.9916109
true 1.4194850972426565e-7 457 4 2 0.02 3 1.5519341457791147e-8 3.886456
true 3.1171625184400753e-6 609 4 2 0.02 4 1.5519341457791147e-8 7.8905732
true 3.1718554579137265e-7 66 4 3 0.02 1 1.5519341457791147e-8 0.2592741
true 8.611285147915501e-7 250 4 3 0.02 2 1.5519341457791147e-8 1.5707419
true 7.094684561133787e-7 355 4 3 0.02 3 1.5519341457791147e-8 3.3801738
true 2.5325465936328524e-5 549 4 3 0.02 4 1.5519341457791147e-8 6.7253739
true 0.2500002972818702 100 4 4 0.02 1 1.5519341457791147e-8 0.386056
true 2.410706157474074e-7 427 4 4 0.02 2 1.5519341457791147e-8 2.6351095
true 5.240415398746756e-6 528 4 4 0.02 3 1.5519341457791147e-8 4.3793871
true 3.4695752609281705e-6 1642 4 4 0.02 4 1.5519341457791147e-8 16.0810849
true 1.260061488483899e-8 60 4 1 0.03 1 9.85891651468959e-8 0.1922425
true 2.3412515115506238e-7 194 4 1 0.03 2 9.85891651468959e-8 1.1629762
true 2.345282856253128e-7 239 4 1 0.03 3 9.85891651468959e-8 2.2468348
true 4.950247176060962e-7 501 4 1 0.03 4 9.85891651468959e-8 5.551773
true 8.583441774012712e-8 123 4 2 0.03 1 9.85891651468959e-8 0.3590527
true 1.7513669858804093e-7 261 4 2 0.03 2 9.85891651468959e-8 1.4304088
true 4.621904443669056e-6 492 4 2 0.03 3 9.85891651468959e-8 3.8901326
true 8.934754856637639e-6 418 4 2 0.03 4 9.85891651468959e-8 5.1663045
true 1.909938464976039e-7 74 4 3 0.03 1 9.85891651468959e-8 0.2513467
true 1.8418767979329806e-7 207 4 3 0.03 2 9.85891651468959e-8 1.2344542
true 2.021332834223344e-6 287 4 3 0.03 3 9.85891651468959e-8 2.6089078
true 3.962001024297261e-6 981 4 3 0.03 4 9.85891651468959e-8 10.3434135
true 1.6535388486227376e-7 78 4 4 0.03 1 9.85891651468959e-8 0.2874166
true 5.077468789027595e-7 434 4 4 0.03 2 9.85891651468959e-8 2.5031523
true 1.7718039502234717e-7 536 4 4 0.03 3 9.85891651468959e-8 4.5294747
true 5.290229444454564e-6 1078 4 4 0.03 4 9.85891651468959e-8 11.8994467
true 7.416452141861818e-7 55 4 1 0.04 1 5.221054521751489e-7 0.2261224
true 2.6078507270321793e-7 148 4 1 0.04 2 5.221054521751489e-7 0.9828295
true 1.1420357526326086e-7 229 4 1 0.04 3 5.221054521751489e-7 2.3009159
true 7.253568773402108e-8 361 4 1 0.04 4 5.221054521751489e-7 5.267727
