g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 4.41856914945582e-8 165 8 1 0.0 1 0.0 8.9429873
true 4.627170763216171e-8 337 8 1 0.0 2 0.0 5.3628886
true 8.556692552286194e-7 1398 8 1 0.0 3 0.0 24.2050218
true 2.4027386319458444e-7 897 8 1 0.0 4 0.0 29.4379167
true 2.4550100377607187e-7 330 8 2 0.0 1 0.0 2.1255588
true 2.0619425998791296e-5 746 8 2 0.0 2 0.0 9.9033709
true 8.34361002510775e-8 672 8 2 0.0 3 0.0 16.0931498
true 3.6063272142727865e-6 2324 8 2 0.0 4 0.0 54.6427616
true 2.1773200790479544e-7 169 8 3 0.0 1 0.0 1.1520165
true 1.7625440258776475e-6 568 8 3 0.0 2 0.0 6.5735084
true 1.0778501716324218e-5 1707 8 3 0.0 3 0.0 28.5680754
true 1.1705378767360811e-5 3114 8 3 0.0 4 0.0 69.6638778
true 0.2500000614858331 225 8 4 0.0 1 0.0 1.5029333
true 2.8383714217872225e-7 942 8 4 0.0 2 0.0 10.8307184
true 1.8952250105327972e-5 1318 8 4 0.0 3 0.0 23.5475522
true 4.2927832408529154e-5 2741 8 4 0.0 4 0.0 61.2161226
true 0.20000017816255147 402 8 5 0.0 1 0.0 2.7032979
true 1.2843714787269532e-7 784 8 5 0.0 2 0.0 9.0616057
true 1.2285201507311605e-6 1151 8 5 0.0 3 0.0 21.2177248
